node_id,dr_ed,n_extreme_months,basin,data_type,source_ref
SC01,0.72,12,珠江流域,V/P,B岗补充数据包2 v2.0
SC02,0.78,14,澜沧江流域,V/P,B岗补充数据包2 v2.0
SC03,0.65,10,巴拉那河流域,V/P,B岗补充数据包2 v2.0
SC04,0.68,11,湄公河流域,V/P,B岗补充数据包2 v2.0
SC05,0.6,9,古巴岛内水系,V/P,B岗补充数据包2 v2.0
SC06,0.85,16,墨累-达令流域,V/P,B岗补充数据包2 v2.0
SB01,0.9,18,伊犁河流域,V/P,B岗补充数据包2 v2.0
SB02,0.82,15,黄河流域,V/P,B岗补充数据包2 v2.0
SB03,0.68,11,黑龙江流域,V/P,B岗补充数据包2 v2.0
SB04,0.75,13,海河流域,V/P,B岗补充数据包2 v2.0
SB05,0.88,17,黑河流域,V/P,B岗补充数据包2 v2.0
SY01,0.58,8,亚马逊南部流域,V/P,B岗补充数据包2 v2.0
SY02,0.65,10,密西西比河流域,V/P,B岗补充数据包2 v2.0
SY03,0.62,9,拉普拉塔河流域,V/P,B岗补充数据包2 v2.0
SY04,0.55,7,哈德逊湾流域,V/P,B岗补充数据包2 v2.0
SY05,0.66,10,阿穆尔河流域,V/P,B岗补充数据包2 v2.0
