node_id,demo,path,year,ws_future,sv_future,data_type,source_ref
SC01,1,Optimistic,2030,3.57,3.48,S,make_demo_data.py v2.0 deterministic demo
SC01,1,Optimistic,2050,3.52,3.43,S,make_demo_data.py v2.0 deterministic demo
SC01,1,Optimistic,2080,3.47,3.38,S,make_demo_data.py v2.0 deterministic demo
SC01,1,BAU,2030,3.88,3.68,S,make_demo_data.py v2.0 deterministic demo
SC01,1,BAU,2050,4.05,3.78,S,make_demo_data.py v2.0 deterministic demo
SC01,1,BAU,2080,4.22,3.88,S,make_demo_data.py v2.0 deterministic demo
SC01,1,Pessimistic,2030,4.21,3.88,S,make_demo_data.py v2.0 deterministic demo
SC01,1,Pessimistic,2050,4.42,4.03,S,make_demo_data.py v2.0 deterministic demo
SC01,1,Pessimistic,2080,4.7,4.18,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Optimistic,2030,3.09,3.02,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Optimistic,2050,3.04,2.97,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Optimistic,2080,2.99,2.92,S,make_demo_data.py v2.0 deterministic demo
SC02,1,BAU,2030,3.4,3.22,S,make_demo_data.py v2.0 deterministic demo
SC02,1,BAU,2050,3.57,3.32,S,make_demo_data.py v2.0 deterministic demo
SC02,1,BAU,2080,3.74,3.42,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Pessimistic,2030,3.73,3.42,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Pessimistic,2050,3.94,3.57,S,make_demo_data.py v2.0 deterministic demo
SC02,1,Pessimistic,2080,4.22,3.72,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Optimistic,2030,2.7,2.54,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Optimistic,2050,2.65,2.49,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Optimistic,2080,2.6,2.44,S,make_demo_data.py v2.0 deterministic demo
SC03,1,BAU,2030,3.01,2.74,S,make_demo_data.py v2.0 deterministic demo
SC03,1,BAU,2050,3.18,2.84,S,make_demo_data.py v2.0 deterministic demo
SC03,1,BAU,2080,3.35,2.94,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Pessimistic,2030,3.34,2.94,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Pessimistic,2050,3.55,3.09,S,make_demo_data.py v2.0 deterministic demo
SC03,1,Pessimistic,2080,3.83,3.24,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Optimistic,2030,3.36,3.65,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Optimistic,2050,3.31,3.6,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Optimistic,2080,3.26,3.55,S,make_demo_data.py v2.0 deterministic demo
SC04,1,BAU,2030,3.67,3.85,S,make_demo_data.py v2.0 deterministic demo
SC04,1,BAU,2050,3.84,3.95,S,make_demo_data.py v2.0 deterministic demo
SC04,1,BAU,2080,4.01,4.05,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Pessimistic,2030,4.0,4.05,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Pessimistic,2050,4.21,4.2,S,make_demo_data.py v2.0 deterministic demo
SC04,1,Pessimistic,2080,4.49,4.35,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Optimistic,2030,2.91,2.81,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Optimistic,2050,2.86,2.76,S,make_demo_data.py v2.0 deterministic demo
SC05,1,Optimistic,2080,2.81,2.71,S,make_demo_data.py v2.0 deterministic demo
