node_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,data_type,source_ref
SC01,3.35,3.52,3.78,4.01,4.23,4.3,4.25,4.02,3.7,3.42,3.21,3.14,V/P,B岗补充数据包2 v2.0
SC02,2.87,3.02,3.25,3.48,3.65,3.72,3.68,3.45,3.2,2.98,2.82,2.76,V/P,B岗补充数据包2 v2.0
SC03,2.55,2.42,2.61,2.87,3.12,3.25,3.3,3.21,3.02,2.78,2.6,2.48,V/P,B岗补充数据包2 v2.0
SC04,3.72,3.85,3.98,3.82,3.56,3.21,3.05,3.12,3.38,3.65,3.78,3.7,V/P,B岗补充数据包2 v2.0
SC05,3.25,3.38,3.42,3.31,3.1,2.87,2.75,2.82,2.98,3.15,3.28,3.32,V/P,B岗补充数据包2 v2.0
SC06,3.62,3.48,3.75,4.02,4.35,4.52,4.58,4.45,4.21,3.9,3.68,3.55,V/P,B岗补充数据包2 v2.0
SB01,4.52,4.65,4.58,4.32,4.1,3.95,3.88,3.95,4.18,4.35,4.48,4.55,V/P,B岗补充数据包2 v2.0
SB02,4.12,4.25,4.18,3.95,3.72,3.58,3.52,3.6,3.82,4.0,4.15,4.22,V/P,B岗补充数据包2 v2.0
SB03,2.75,2.82,2.78,2.6,2.42,2.3,2.25,2.32,2.48,2.62,2.72,2.78,V/P,B岗补充数据包2 v2.0
SB04,3.62,3.75,3.68,3.45,3.22,3.08,3.02,3.1,3.28,3.45,3.58,3.65,V/P,B岗补充数据包2 v2.0
SB05,4.32,4.45,4.38,4.12,3.88,3.72,3.65,3.75,3.98,4.18,4.32,4.38,V/P,B岗补充数据包2 v2.0
SY01,2.05,1.92,2.1,2.35,2.6,2.72,2.78,2.68,2.48,2.25,2.08,1.98,V/P,B岗补充数据包2 v2.0
SY02,3.25,3.38,3.32,3.1,2.88,2.75,2.68,2.78,2.98,3.15,3.28,3.35,V/P,B岗补充数据包2 v2.0
SY03,2.2,2.08,2.25,2.5,2.72,2.85,2.9,2.8,2.6,2.38,2.22,2.12,V/P,B岗补充数据包2 v2.0
SY04,2.25,2.32,2.28,2.1,1.92,1.8,1.75,1.82,1.98,2.12,2.22,2.28,V/P,B岗补充数据包2 v2.0
SY05,2.92,3.0,2.95,2.75,2.55,2.42,2.35,2.45,2.62,2.78,2.88,2.95,V/P,B岗补充数据包2 v2.0
